ID,Name,Machine name,X,Dev,QA,Description,Example(s),Mod.,Layout,Trns.,Migr.,Cmnt.,Meta,Sched.,Srch.,Type,URL alias pattern,Settings/notes,Valid proofing,Valid VA.gov preview,Valid content proofing or preview?,Valid content proofing or preview? March 2020: 11 out of 24,Valid content proofing or preview? June 2020: 15 / 28
,Benefits detail page,page,x,,,"These pages hold all of the benefits overview content, such the detail pages linked to from va.gov/disability, va.gov/health-care, and va.gov/education.",-,y,n,,,n,y,y,,Content type,-,Lightning OOTB,No,Yes,Yes,Yes,Yes
,Benefits hub landing page,landing_page,x,,,A special page for top-level Benefits content with its own one-off layout and content.,-,y,n,,,n,y,n,,Content type,-,Lightning OOTB,No,Yes,Yes,Yes,Yes
,Detail Page,health_care_region_detail_page,x,,,For static pages where there's not another content type already available. ,,,,,,,,,,Content type,,,No,Yes,Yes,Yes,Yes
,Documentation page,documentation_page,x,,,Help pages VA.gov CMS editors.,,,,,,,,,,Content type,,,Yes,No,Yes,Yes,Yes
,Event,event,x,,,"For online or in-person events like support groups, outreach events, public lectures, and more.",,,,,,,,,,Content type,,,No,Yes,Yes,Yes,Yes
,Event listing page,event_listing,x,,,A listing of events.,,,,,,,,,,Content type,,,Yes,No,Yes,No,Yes
,Health services listing page,health_services_listing,x,,,A listing of health services.,,,,,,,,,,Content type,,,No,No,No,No,No
,Leadership listing page,leadership_listing,x,,,A listing of staff members.,,,,,,,,,,Content type,,,No,No,No,No,No
,Locations listing page,locations_listing,x,,,A listing of locations.,,,,,,,,,,Content type,,,No,No,No,No,No
,NCA facility,nca_facility,x,,,A facility within National Cemetery Administration system.,,,,,,,,,,Content type,,Sprint 3,No,No,No,N/A,No
,News release,press_release,x,,,Announcements directed at members of the media for the purpose of publicizing newsworthy events/happenings/programs at specific facilities or healthcare systems.,,,,,,,,,,Content type,,,No,Yes,Yes,Yes,Yes
,News release listing page,press_releases_listing,x,,,A listing of news releases.,,,,,,,,,,Content type,,,No,No,No,No,No
,Office,office,x,,,"An office at the VA, which may have contact info, events, news, and a leadership page in some cases.",,,,,,,,,,Content type,,,No,No,No,No,No
,Publication,outreach_asset,x,,,"Contains a document, image, or video, for publication within a Publication library.",,,,,,,,,,Content type,,,No,No,No,No,No
,Publication listing page,publication_listing,x,,,"This allows the listing of publication materials such as documents, videos, and images all in one place.",,,,,,,,,,Content type,,,No,No,No,No,No
,Staff profile,person_profile,x,,,Profiles of staff members for display in various places around the site.,,,,,,,,,,Content type,,,No,Yes,Yes,Yes,Yes
